Drug Name,Drug Subcategory
Bivalirudin,Anti-coagulant [EPC]
Goserelin,others
Desmopressin,others
Cetrorelix,others
Cyclosporine,Calcineurin Inhibitor Immunosuppressant [EPC]
Felypressin,others
Octreotide,others
Pyridoxal Phosphate,others
Cyanocobalamin,Vitamin B12 [EPC]
Tetrahydrofolic acid,others
L-Histidine,others
S-Adenosylmethionine,others
Pyruvic acid,others
L-Phenylalanine,others
Biotin,others
Choline,Radioactive Diagnostic Agent [EPC]
L-Lysine,others
L-Arginine,others
Vitamin C,others
Spermine,others
L-Aspartic Acid,others
L-Ornithine,others
L-Glutamine,others
Adenosine monophosphate,others
Alpha-Linolenic Acid,others
L-Serine,others
L-Methionine,others
L-Tyrosine,others
Calcitriol,Vitamin D3 Analog [EPC]
Xanthophyll,others
L-Cystine,others
Succinic acid,others
Riboflavin,others
N-Acetyl-D-glucosamine,others
L-Glutamic Acid,others
Glutathione,others
Phosphatidylserine,others
Glycine,others
Calcidiol,others
Pyridoxal,others
Creatine,others
L-Leucine,others
L-Tryptophan,others
L-Cysteine,others
Thiamine,others
Ergocalciferol,Provitamin D2 Compound [EPC]
Dihomo-gamma-linolenic acid,others
L-Citrulline,others
L-Threonine,others
NADH,others
Folic Acid,others
Icosapent,others
L-Alanine,others
L-Valine,others
Vitamin A,others
Vitamin E,others
Pyridoxine,others
Lipoic Acid,others
L-Isoleucine,others
Aspartame,Standardized Chemical Allergen [EPC]
Cholecalciferol,others
Menadione,others
Adenosine triphosphate,others
L-Proline,others
Adenine,Calculi Dissolution Agent [EPC]
L-Asparagine,others
Pravastatin,others
Fluvoxamine,others
Valsartan,Angiotensin 2 Receptor Blocker [EPC]
Ramipril,Angiotensin Converting Enzyme Inhibitor [EPC]
Masoprocol,others
Flunisolide,others
Baclofen,gamma-Aminobutyric Acid-ergic Agonist [EPC]
Amphetamine,others
Pentagastrin,others
Nicotine,Cholinergic Nicotinic Agonist [EPC]
Cevimeline,others
Lorazepam,Benzodiazepine [EPC]
Esmolol,others
Bortezomib,Proteasome Inhibitor [EPC]
Ethchlorvynol,others
Phentermine,others
Indecainide,others
Tramadol,others
Vidarabine,others
Betaxolol,others
Fluconazole,Azole Antifungal [EPC]
Troglitazone,others
Oseltamivir,others
Erythromycin,Macrolide [EPC]
Hydroxocobalamin,others
Caffeine,Barbiturate [EPC]
Succinylcholine,others
Sildenafil,others
Dofetilide,Antiarrhythmic [EPC]
Pyrimethamine,Dihydrofolate Reductase Inhibitor Antimalarial [EPC]
Reserpine,others
Azithromycin,others
Ticlopidine,others
Trospium,others
Adapalene,Retinoid [EPC]
Midodrine,others
Remikiren,others
Pantoprazole,others
Torasemide,others
Citalopram,others
Eletriptan,others
Bethanidine,others
Moxifloxacin,others
Oxyphenonium,others
Nelfinavir,others
Isoetarine,others
Glimepiride,Sulfonylurea [EPC]
Diflorasone,others
Indinavir,others
Guanadrel,others
Lovastatin,HMG-CoA Reductase Inhibitor [EPC]
Enflurane,others
Cefotiam,others
Pregabalin,others
Temazepam,Benzodiazepine [EPC]
Methyclothiazide,others
Aminosalicylic Acid,others
Reboxetine,others
Milrinone,others
Pipobroman,others
Butabarbital,others
Nevirapine,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC]
Oxiconazole,others
Alclometasone,others
Butalbital,Barbiturate [EPC]
Cladribine,Purine Antimetabolite [EPC]
Ranolazine,Anti-anginal [EPC]
Mesalazine,others
Benzatropine,others
Ziprasidone,others
Methysergide,others
Cabergoline,Ergot Derivative [EPC]
Idoxuridine,others
Dapsone,Sulfone [EPC]
Terconazole,Azole Antifungal [EPC]
Phenytoin,others
Medrysone,others
Doxycycline,Tetracycline-class Drug [EPC]
Diethylstilbestrol,others
Lymecycline,others
Clotrimazole,Azole Antifungal [EPC]
Calcium Acetate,Non-Standardized Plant Allergenic Extract [EPC]
Sulfanilamide,others
Cycloserine,others
Anagrelide,others
Carmustine,others
Sulfisoxazole,others
Metoprolol,others
Crotamiton,others
Dicoumarol,others
Cefmenoxime,others
Ropinirole,others
Chlorotrianisene,others
Isradipine,Dihydropyridine Calcium Channel Blocker [EPC]
Diatrizoate,others
Betazole,others
Topiramate,others
Cefmetazole,others
Olmesartan,Thiazide Diuretic [EPC]
Amsacrine,others
Theophylline,Methylxanthine [EPC]
Argatroban,Anti-coagulant [EPC]
Liothyronine,others
Disopyramide,others
Lidocaine,Amide Local Anesthetic [EPC]
Pamidronate,others
Clemastine,others
Acarbose,alpha-Glucosidase Inhibitor [EPC]
Venlafaxine,others
Conjugated Estrogens,Sulfonylurea [EPC]
Travoprost,Prostaglandin Analog [EPC]
Amcinonide,Corticosteroid [EPC]
Atomoxetine,others
Bleomycin,others
Chlorambucil,others
Etomidate,General Anesthetic [EPC]
Raltitrexed,others
Etonogestrel,Estrogen [EPC]
Morphine,others
Ropivacaine,others
Bupivacaine,others
Dapiprazole,others
Penciclovir,Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC]
Tenofovir,others
Flucloxacillin,others
Tranexamic Acid,others
Ertapenem,others
Desogestrel,others
Mitomycin,Alkylating Drug [EPC]
Talbutal,others
Bexarotene,Retinoid [EPC]
Ibutilide,others
Vindesine,others
Chlorthalidone,Thiazide-like Diuretic [EPC]
Ethoxzolamide,others
Pentobarbital,others
Valproic Acid,others
Zolmitriptan,Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]
Acetaminophen,others
Gefitinib,Kinase Inhibitor [EPC]
